School,Engineering Rank,Overall Rank,Program Age,Distance from major city (miles),intership opportunities,acceptance rate,average class size,student(x) - teacher(1) ratio,party school ranking,engineering applications
MIT,1,2,161,2,0.9,0.05,10,3,125,"20,000"
Stanford,2,4,101,35,0.9,0.04,20,6,307,"25,000"
Georgia Tech ,3,32,138,0,0.9,0.13,45,4,227,"30,000"
Cal Berkeley ,4,15,95,15,0.9,0.11,54,19,114,"40,000"
Cal Tech,5,11,135,10,0.85,0.03,12,3,,"15,000"
UIUC,5,36,159,140,0.85,0.21,20,21,10,"40,000"
UMich,5,20,172,242,0.85,0.13,39,15,24,"35,000"
Carnegie Mellon,8,20,120,0,0.95,0.17,25,6,545,"20,000"
Purdue,8,46,152,65,0.85,0.34,25,13,316,"40,000"
Cornell ,10,12,156,235,0.85,0.07,30,9,153,"25,000"
Princeton,11,1,105,60,0.85,0.05,20,6,328,"8,250"
UT,11,30,132,0,0.85,0.16,35,18,33,"35,000"
Johns Hopkins,13,7,113,0,0.8,0.08,20,6,540,"12,000"
UCLA,14,17,81,0,0.8,0.07,20,18,60,"40,000"
UWisco,14,36,169,0,0.8,0.45,30,14,5,"20,000"
Virginia Tech,14,51,154,270,0.85,0.57,40,13,76,"18,000"
Duke,17,7,86,26,0.85,0.05,20,6,141,"5,400"
Northwestern,17,7,117,12,0.85,0.07,20,6,380,"10,000"
Texas A&M,17,51,150,100,0.8,0.84,30,21,121,"40,000"
UCSD,17,29,62,0,0.85,0.29,25,19,,"30,000"
Columbia,21,15,162,0,0.85,0.05,20,6,162,"15,000"
Harvard,21,3,179,4,0.85,0.04,12,7,375,4000
Penn State,21,59,145,137,0.75,0.55,40,7,12,"25,000"
Rice,21,17,114,0,0.85,0.08,15,6,129,"10,000"
UMaryland CP,21,42,27,9,0.8,0.4,40,17,79,"25,000"
UPenn,21,7,174,0,0.85,0.03,25,29,41,"12,000"
UWash,21,42,127,0,0.8,0.35,40,21,190,"25,000"
Ohio State,28,41,131,0,0.75,0.3,50,19,20,"30,000"
CU Boulder,28,97,133,35,0.75,0.3,45,18,14,"20,000"
UMinn,28,59,154,0,0.75,0.3,45,17,77,"20,000"
USC,28,28,121,0,0.85,0.08,32,9,4,"25,000"
UCD,32,32,64,0,0.75,0.34,40,21,347,"25,000"
UFlorida,32,30,116,110,0.85,0.24,50,17,43,"25,000"
Vanderbilt,32,17,146,0,0.85,0.07,29,8,31,"9,000"
Arizona State,35,117,70,0,0.75,0.88,55,18,66,"25,000"
NC State,35,64,103,0,0.85,0.4,45,15,198,"25,000"
Northeastern,35,46,117,0,0.97,0.05,32,16,351,"18,000"
RPI,35,64,191,150,0.9,0.53,30,13,,"8,000"
UCI,35,32,61,45,0.8,0.29,38,18,,"25,000"
UVA,35,26,190,100,0.8,0.24,35,14,38,"15,000"
Yale,35,4,174,80,0.85,0.04,25,6,52,3500
Brown,42,13,179,50,0.85,0.06,26,6,225,8600
Case Western,42,51,146,0,0.8,0.29,30,11,,"8,000"
School of Mines,42,80,152,15,0.9,0.6,30,16,,"10,000"
UCSB,42,40,60,100,0.8,0.18,38,17,1,"20,000"
Notre Dame,42,20,153,100,0.85,0.15,32,9,168,"8,000"
WashU,42,20,52,0,0.85,0.14,28,7,259,8000
Boston U,48,42,76,0,0.8,0.14,33,11,158,"12,000"
Michigan State,48,64,137,90,0.7,0.76,55,16,23,"20,000"
Clemson,50,75,109,130,0.75,0.42,45,16,100,15000
Iowa State,50,117,140,35,0.8,0.91,45,19,106,"15,000"
Rutgers,50,42,160,33,0.75,0.4,50,16,59,"22,000"
Tufts,50,36,128,5,0.8,0.1,26,10,641,"8,000"
UArizona,50,127,120,115,0.7,0.88,45,20,39,"15,000"
UDelaware,50,88,137,40,0.75,0.63,40,12,40,"12,000"
UNC,50,26,80,30,0.8,0.19,35,15,85,"10,000"
Auburn,57,102,150,50,0.75,0.46,45,20,83,"15,000"
Dartmouth,57,13,159,125,0.85,0.06,25,7,136,5600
Lehigh,57,46,140,50,0.85,0.25,28,9,62,"8,000"
RIT,57,88,54,6,0.9,0.67,32,13,,"12,000"
Buffalo,57,75,105,100,0.75,0.6,45,13,155,"12,000"
UMass,57,64,75,90,0.75,0.4,45,17,69,"15,000"
Pitt,57,69,180,0,0.75,0.5,45,14,135,"15,000"
Drexel,64,80,130,0,0.9,0.77,32,11,404,"12,000"
NYU,64,32,172,0,0.85,0.09,30,8,146,"12,000"
Oregon State,64,143,135,90,0.75,0.79,45,18,184,"12,000"
Stony Brook,64,59,69,60,0.75,0.49,45,20,,"15,000"
UConn,64,69,107,100,0.75,0.32,45,16,144,"15,000"
UTK,64,102,188,0,0.75,0.34,45,17,64,"12,000"
Utah,64,151,130,0,0.75,0.74,45,18,222,"12,000"
WPI,64,84,155,50,0.9,0.58,28,13,233,"10,000"
Michigan Tech,72,158,141,550,0.85,0.84,35,13,463,"7,000"
Missouri U,72,102,175,125,0.7,0.79,45,17,422,"10,000"
Syracuse,72,75,120,300,0.75,0.5,40,15,7,9000
UIC,72,84,80,0,0.7,0.72,45,18,605,"10,000"
U Iowa,72,102,121,128,0.7,0.4,40,16,26,"10,000"
CSU,77,151,140,60,0.7,0.9,45,17,215,"10,000"
GWU,77,59,142,0,0.8,0.44,30,12,206,"7,000"
NJIT,77,80,107,15,0.85,0.67,35,15,389,"12,000"
Stevens IT,77,80,150,4,0.9,0.43,28,11,378,"10,000"
UCF,77,117,59,0,0.7,0.43,55,30,92,"25,000"
Houston,77,132,85,0,0.7,0.66,50,22,174,"15,000"
Rochester,77,46,65,170,0.85,0.4,25,9,475,"8,000"
UTD,77,110,40,0,0.8,0.65,35,26,,"18,000"
WSU,77,192,95,280,0.7,0.75,45,15,44,"10,000"
Binghamton,86,73,43,190,0.75,0.4,35,19,45,"10,000"
Embry Riddle,86,,101,49,0.85,0.5,30,16,,"8,000"
IIT,86,117,136,0,0.85,0.55,30,12,,"8,000"
Bama,86,169,189,57,0.7,0.75,45,19,6,"12,000"
UCR,86,75,32,60,0.7,0.36,40,24,305,"15,000"
UCincinnati,86,158,90,110,0.9,0.86,45,19,27,"15,000"
UGeorgia,86,46,14,80,0.8,0.3,40,17,8,"12,000"
UKansas,86,143,130,45,0.7,0.93,45,17,50,"9,000"
UKentucky,86,143,161,80,0.7,0.92,45,16,78,"10,000"
UNebraska,86,158,145,60,0.7,0.77,45,17,108,"9,000"
Brigham Young,96,110,74,45,0.8,0.67,50,21,,"12,000"
Florida A&M,96,169,44,0,0.65,0.21,40,16,21,"4,000"
George Mason,96,57,41,20,0.75,0.91,45,18,,"12,000"
Kansas State,96,158,109,135,0.7,0.94,45,18,104,"10,000"
Louisiana State,96,169,118,0,0.7,0.74,50,20,53,"10,000"
Mississippi State,96,208,134,120,0.7,0.78,45,18,205,"9,000"
SDSU,96,117,65,0,0.7,0.39,45,27,22,"12,000"
Texas Tech,96,198,101,334,0.7,0.72,45,20,51,"12,000"
Tulane ,96,69,132,0,0.85,0.14,30,8,3,"6,000"
UArk,96,183,110,190,0.7,0.79,45,19,61,"9,000"
UCSC,96,88,29,75,0.75,0.73,38,19,704,"15,000"
UMaryland BC,96,127,29,5,0.8,0.4,35,19,,"8,000"
Ole Miss,96,124,175,80,0.65,0.88,45,17,13,"9,000"
UNM,96,242,114,0,0.65,0.79,45,17,572,"8,000"
Oklahoma ,96,110,120,20,0.7,0.77,45,18,35,"11,000"
