spotify ranking,number of total streams,name of song
1,"3,146,266,206",Cruel Summer
2,"2,262,996,886",Blank Space
3,"2,018,824,444",* I Don’t Wanna Live Forever (Fifty Shades Darker)
4,"1,928,907,801",Anti-Hero
5,"1,916,366,843",Lover
6,"1,836,034,055",cardigan
7,"1,761,775,449",Shake It Off
8,"1,667,098,921",august
9,"1,569,938,131",Style
10,"1,510,829,011",Don’t Blame Me
11,"1,384,735,055",Look What You Made Me Do
12,"1,252,033,515",Delicate
13,"1,122,199,035",Wildest Dreams
14,"1,119,987,613",All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
15,"1,101,709,850",You Need To Calm Down
16,"1,098,295,437",Love Story (Taylor’s Version)
17,"1,063,203,875",Love Story
18,"1,062,464,291",Fortnight (feat. Post Malone)
19,"1,042,530,881",willow
20,"1,040,123,884",I Knew You Were Trouble.
21,"1,011,791,355",exile (feat. Bon Iver)
22,"1,004,551,565",You Belong With Me (Taylor’s Version)
23,"977,072,527",Karma
24,"971,926,413",Enchanted
25,"970,081,387",The Man
26,"967,713,752",...Ready For It?
27,"966,837,917",Wildest Dreams (Taylor's Version)
28,"959,071,573",ME! (feat. Brendon Urie of Panic! At The Disco)
29,"866,588,254",Getaway Car
30,"861,626,912",Lavender Haze
31,"818,633,262",Midnight Rain
32,"809,288,041","You're On Your Own, Kid"
33,"801,051,698",Paper Rings
34,"788,515,713",champagne problems
35,"776,993,493",You Belong With Me
36,"774,708,261",my tears ricochet
37,"772,980,110",We Are Never Ever Getting Back Together
38,"754,875,199",I Can Do It With a Broken Heart
39,"732,352,105",the 1
40,"718,406,887",Gorgeous
41,"710,588,514",Bad Blood
42,"685,902,901",Bejeweled
43,"639,204,658",Daylight
44,"601,714,311",End Game
45,"582,292,653",Maroon
46,"580,240,223",illicit affairs
47,"559,605,967",Is It Over Now? (Taylor's Version) (From The Vault)
48,"555,641,506",I Did Something Bad
49,"552,661,568",The Way I Loved You (Taylor’s Version)
50,"547,583,705",mirrorball
51,"541,744,059",Call It What You Want
52,"540,760,513",this is me trying
53,"527,195,925",Miss Americana & The Heartbreak Prince
54,"524,658,147",The Archer
55,"506,064,848",Snow On The Beach (feat. Lana Del Rey)
56,"504,745,723",Guilty as Sin?
57,"499,159,611",Dress
58,"496,876,897",Vigilante Shit
59,"494,059,478",invisible string
60,"491,408,089",The Fate of Ophelia
61,"486,856,958",Afterglow
62,"486,302,396",Down Bad
63,"483,498,211",I Knew You Were Trouble (Taylor's Version)
64,"475,699,445",Back To December
65,"474,324,416",Enchanted (Taylor's Version)
66,"466,670,922",right where you left me - bonus track
67,"463,399,460",All Of The Girls You Loved Before
68,"459,389,341",We Are Never Ever Getting Back Together (Taylor's Version)
69,"453,893,317",Mr. Perfectly Fine (Taylor’s Version) (From The Vault)
70,"449,081,913",22
71,"443,269,688",the last great american dynasty
72,"441,458,863",Mastermind
73,"440,906,412",Our Song
74,"439,909,830",betty
75,"435,687,155",Fearless (Taylor’s Version)
76,"427,416,573",Cornelia Street
77,"417,742,065","""Slut!"" (Taylor's Version) (From The Vault)"
78,"416,581,253",London Boy
79,"415,066,082",tolerate it
80,"412,552,218",Red (Taylor's Version)
81,"411,356,644",Now That We Don't Talk (Taylor's Version) (From The Vault)
82,"402,524,129",Who’s Afraid of Little Old Me?
83,"400,622,631",I Forgot That You Existed
84,"393,238,955","So Long, London"
85,"392,853,971",22 (Taylor's Version)
86,"390,819,106",seven
87,"388,435,960",Style (Taylor's Version)
88,"375,082,670",My Boy Only Breaks His Favorite Toys
89,"373,281,731",Labyrinth
90,"361,182,103",The Great War
91,"358,893,443",You’re Losing Me (From The Vault)
92,"357,254,823",Death By A Thousand Cuts
93,"356,596,720",All Too Well (Taylor's Version)
94,"356,158,610",So High School
95,"355,199,677",Out Of The Woods
96,"353,163,377",King Of My Heart
97,"352,182,286",Question...?
98,"352,098,400",Sweet Nothing
99,"350,413,015",But Daddy I Love Him
100,"347,792,885",gold rush
101,"347,546,989","Would've, Could've, Should've"
102,"347,476,778",This Love (Taylor’s Version)
103,"343,315,149",False God
104,"337,374,493","no body, no crime (feat. HAIM)"
105,"337,255,050",Blank Space (Taylor's Version)
106,"335,469,254",I Think He Knows
107,"329,585,403",I Can See You (Taylor’s Version) (From The Vault)
108,"327,542,000",‘tis the damn season
109,"325,993,916",Dancing With Our Hands Tied
110,"324,662,379",Lover (Remix) [feat. Shawn Mendes]
111,"323,295,847",loml
112,"318,184,665",New Romantics
113,"312,913,372",The Smallest Man Who Ever Lived
114,"312,291,818",Opalite
115,"309,804,491",The Tortured Poets Department
116,"305,871,707",Florida!!! (feat. Florence + The Machine)
117,"304,435,586",Everything Has Changed
118,"299,662,228",marjorie
119,"286,049,909",Red
120,"285,757,121",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)
121,"284,932,060",evermore (feat. Bon Iver)
122,"283,663,314",Welcome To New York
123,"282,468,910",Back To December (Taylor's Version)
124,"277,123,839",* Highway Don't Care
125,"275,429,428",ivy
126,"274,255,520",Snow On The Beach (feat. More Lana Del Rey)
127,"274,067,998",This Is Why We Can't Have Nice Things
128,"272,550,443",I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)
129,"269,472,583",Hits Different
130,"268,603,498",Say Don't Go (Taylor's Version) (From The Vault)
131,"267,558,332",All Too Well
132,"264,369,909",Message In A Bottle (Taylor's Version) (From The Vault)
133,"264,080,098",mad woman
134,"263,230,042",Mine (Taylor's Version)
135,"260,221,576",peace
136,"258,991,650",Mean
137,"258,510,739",* us. (feat. Taylor Swift)
138,"258,125,458",New Year’s Day
139,"256,410,008",Teardrops On My Guitar - Radio Single Remix
140,"255,508,723",The Alchemy
141,"252,325,881",Safe & Sound - from The Hunger Games Soundtrack
142,"249,504,545",long story short
143,"246,519,515",Mine
144,"245,521,470",Picture To Burn
145,"245,122,277",cowboy like me
146,"244,004,881",Christmas Tree Farm
147,"241,765,036",The Prophecy
148,"240,180,546",All You Had To Do Was Stay
149,"239,767,663",Bigger Than The Whole Sky
150,"236,765,178",So It Goes...
151,"234,698,371",hoax
152,"233,965,240",Better Than Revenge
153,"233,945,630",happiness
154,"232,646,857",Fresh Out The Slammer
155,"232,197,679",Paris
156,"230,536,690",imgonnagetyouback
157,"230,101,888",Out Of The Woods (Taylor's Version)
158,"226,526,824",epiphany
159,"224,052,454",coney island (feat. The National)
160,"220,727,526",dorothea
