Grammys,Streams
35,"32,400,526,303"
,
28,"556,372,101"
28,"156,920,207"
27,"941,664,523"
25,"7,647,829,315"
25,"5,709,591,849"
25,"129,131,918"
24,"22,295,114,710"
24,"58,972,561,249"
22,"51,919,746,337"
22,"656,914,471"
,
20,"409,839,316"
20,"8,093,081,260"
20,"307,185,236"
,
19,"1,695,501,425"
19,"2,053,144,430"
18,"3,702,813,303"
,
17,"2,577,783,349"
16,"410,743,788"
,
,
16,"2,890,935,541"
,
16,"48,373,934,562"
16,"1,142,250,153"
16,"26,475,890,857"
15,"60,291,847,363"
15,"9,766,609,374"
15,"651,625,328"
15,"10,884,073,210"
14,"115,487,190,392"
14,"33,350,013,098"
,
14,"175,519,422"
,
14,"324,247,080	"
,
13,"773,226,509	"
13,"19,448,187,323"
13,"6,901,680,930	"
13,"715,942,045"
,
13,"9,804,507,269	"
13,"33,500,000"
13,"3,286,196,447	"
,
12,"3,732,189,717	"
12,"727,639,029"
,
,
12,"11,233,873,212"
12,"833,987,098"
12,"2,123,158,389	"
,
,
11,"1,405,725,773	"
,
11,"1,910,596,152"
11,"336,949,021	"
10,"4,507,330,505"
10,"488,213,109	"
10,"16,462,191,656	"
10,"5,552,711,358	"
,
10,"965,231,189	"
10,"2,324,512,191"
10,"1,292,300,825"
10,"535,641,588	"
10,"1,208,507,197	"
10,"853,000,000"
10,"307,185,236	"
9,"3,861,748,611	"
9,"53,111,278,411	"
9,"54,112,743,689"
9,"11,242,370,724	"
,
,
9,"1,307,316,366	"
9,"16,836,554,456	"
9,"1,114,822,666"
9,"10,777,875,493	"
9,"4,705,229,365	"
,
,
8,"1,419,096,359	"
8,"1,452,581,541	"
,
8,"3,313,497,255	"
8,"2,224,908,799	"
8,"16,673,746,086"
8,"2,049,932,956	"
8,"3,568,155,301	"
8,"4,527,768,338"
8,"453,186,960"
8,"4,932,006,067"
8,"10,185,309,865	"
,
,
8,"8,898,570,522	"
8,"3,548,330,231"
8,"964,912,429	"
,
7,"3,881,754,975"
7,"10,377,795,031"
7,"6,217,995,434"
7,"1,060,330,184"
7,"729,761,861"
,
7,"12,522,682,630	"
7,"1,385,701,134"
,
7,"591,008,945"
7,"1,479,382,160"
7,"4,484,996,295"
,
6,"8,073,531,944"
,
,
6,"2,332,763,947"
6,"5,260,667,955"
,
6,"6,305,871,512"
6,"13,979,895,516"
6,"153,605,451"
,
5,"124,117,553,182 "
5,"12,312,802,097"
5,"37,228,090,225	"
5,"35,357,177,069	"
5,"7,108,264,170"
5,"8,294,154,875"
5,"10,061,659,737"
5,"1,461,096,682"
5,"655,801,563"
5,"411,691,745"
5,"512,215,089"
5,"886,793,831"
,
5,"11,149,685,699"
5,"2,928,677,472"
5,"1,328,073,893"
5,"47,077,384"
5,"84,389,023"
4,"528,122,069"
4,"4,290,627,166"
4,"8,410,921,971"
4,"4,041,171,335"
,
4,"2,983,800,551"
4,"6,291,721,038"
4,"328,851,384"
4,"5,960,953,438"
,
4,"1,194,955,851"
4,"2,586,679,273"
4,"3,432,497,262	"
,
4,"3,499,776,422"
3,"3,220,300,615	"
3,"15,169,804,863"
3,"2,702,000,125	"
3,"5,620,152,344"
3,"7,634,080,076	"
3,"1,054,779,057"
3,"49,728,585,394	"
3,"24,529,772,041	"
3,"32,829,736,454"
3,"19,600,000,000"
3,"1,104,000,239"
3,"110,403,938,256"
3,"26,026,700,703"
3,"11,000,000,000"
3,"1,300,000,000"
3,"1,074,193,674"
,
3,"1,306,256,187"
3,"4,885,682,154 "
2,"46,200,000,000"
2,"29,568,872,524"
2,"5,009,341,736"
2,"61,796,313,394"
2,"38,441,279,332"
2,"10,093,723,524"
2,"5,651,925,883"
2,"12,605,378,841"
2,"2,071,580,456"
2,"7,586,367,492	"
2,"22,318,521,914"
2,"1,065,082,267"
2,"20,298,697,353"
2,"10,683,508,622	"
2,"6,587,866,759	"
2,"2,784,501,997	"
2,"373,502,579	"
1,"28,539,426,631"
1,"1,464,897,559"
1,"446,471,715	"
1,"18,196,974,501"
1,"202,351,438"
1,"1,875,799,348"
1,"36,780,222,421"
1,"1,097,835,055"
1,"20,500,000,000"
1,"2,553,920,217"
1,"2,899,228,637"
1,"9,379,786,942"
1,"2,879,922,279"
1,"12,104,745,779"
1,"11,151,710,731"
1,"3,056,597,432"
1,"146,007,883	"
