Artist,Grammys,Streams
Beyoncé[1],35,"32,400,526,303"
Georg Solti[2],31,
Quincy Jones[3],28,"556,372,101"
Chick Corea[4],28,"156,920,207"
Alison Krauss[5],27,"941,664,523"
Stevie Wonder[6],25,"7,647,829,315"
John Williams[7],25,"5,709,591,849"
Vladimir Horowitz[8],25,"129,131,918"
Jay-Z[9],24,"22,295,114,710"
Kanye West[10],24,"58,972,561,249"
Kendrick Lamar[11],22,"51,919,746,337"
Vince Gill[12],22,"656,914,471"
David Frost[13],25,
Henry Mancini[14],20,"409,839,316"
Bruce Springsteen[15],20,"8,093,081,260"
Pat Metheny[16],20,"307,185,236"
Al Schmitt[17],20,
Tony Bennett[18],19,"1,695,501,425"
Yo-Yo Ma[19],19,"2,053,144,430"
Aretha Franklin[20],18,"3,702,813,303"
Jimmy Sturr[21],18,
Ray Charles[22],17,"2,577,783,349"
Leonard Bernstein[23],16,"410,743,788"
James Mallinson[24],16,
Robert Shaw[25],16,
"Paul Simon[26]
",16,"2,890,935,541"
Steven Epstein[27],16,
Bruno Mars[28],16,"48,373,934,562"
Kirk Franklin[29],16,"1,142,250,153"
Adele[30],16,"26,475,890,857"
Eminem[31],15,"60,291,847,363"
Foo Fighters[32],15,"9,766,609,374"
CeCe Winans[33],15,"651,625,328"
Alicia Keys[34],15,"10,884,073,210"
Taylor Swift[35],14,"115,487,190,392"
Lady Gaga[36],14,"33,350,013,098"
Bela Fleck[37],14,
Jerry Douglas[38],14,"175,519,422"
Phil Ramone[39],14,
Alison Krauss and Union Station[40],14,
Jay David Saks[41],13,
Emmylou Harris[42],13,
"Michael Jackson[43]
Pharrell Williams[44]",13,
Johnny Cash[45],13,
Bonnie Raitt[46],13,
Robert Woods[47],13,
Taylor Hawkins[48],13,
Leontyne Price[49],13,
Ella Fitzgerald[50],13,
T Bone Burnett[51],13,
Willie Nelson[52],12,
Babyface[53],12,
Thomas Z Shepard[54],12,
Michael Tilson Thomas[55],12,
John Legend[56],12,
Jack White[57],12,
The Chicks[58],12,
Jay Newland[59],12,
Shirley Caesar[60],11,
Brandi Carlile[61],11,
Jack Antonoff[62],11,
Al Green[63],11,
"Arif Mardin[64]
Roger Miller[65]",11,
Dolly Parton[66],10,
Andre Previn[67],10,
Justin Timberlake[68],10,
Bob Dylan[69],10,
James Levine[70],10,
Linda Ronstadt[71],10,
Finneas O'Connell[72],10,
Chaka Khan[73],10,
Bobby McFerrin[74],10,
Joni Mitchell[75],10,
Carlos Santana[76],10,
Pat Metheny Group[77],10,
Mary J. Blige[78],9,
Billie Eilish[79],9,
Rihanna[80],9,
"Frank Sinatra[81]
Sheryl Crow[82]",9,
Randy Merrill[83],9,
James Blackwood[84],9,
André 3000[85],9,
"Natalie Cole[86]
Metallica[87]",9,
Count Basie[88],9,
Skrillex[89],9,
Norah Jones[90],9,
Hillary Scott[91],9,
