Player,Team,Position,points
Trey Benson,AC,RB,6
Michael Carter,AC,RB,6
Emari Demercado,AC,RB,6
Tony Jones,AC,RB,6
Jonah Williams,AC,OL,6
DeeJay Dallas,AC,RB,12
Elijah Higgins,AC,TE,12
Greg Dortch,AC,WR,18
Trey McBride,AC,TE,24
Michael Wilson,AC,WR,24
Matt Prater,AC,K,28
Kyler Murray,AC,QB,32
Marvin Harrison Jr.,AC,WR,48
James Conner,AC,RB,58
Chad Ryland,AC,K,110
Zach Harrison,AF,DL,2
Troy Andersen,AF,LB,6
Jessie Bates III,AF,SS,6
Matt Judon,AF,ROLB,6
Ray-Ray McCloud,AF,WR,6
Michael Penix,AF,QB,6
KhaDarel Hodge,AF,WR,12
Tyler Allgeier,AF,RB,20
Riley Patterson,AF,K,24
Kyle Pitts,AF,TE,24
Darnell Mooney,AF,WR,30
Drake London,AF,WR,54
Bijan Robinson,AF,RB,92
Younghoe Koo,AF,K,101
A.J. Epenesa,BB,LDE,2
Tyrell Shavers,BB,WR,6
Curtis Samuel,BB,WR,6
Quintin Morris,BB,TE,6
Dawson Knox,BB,TE,6
Ja'Marcus Ingram,BB,CB,6
Amari Cooper,BB,WR,12
Taron Johnson,BB,CB,12
Dalton Kincaid,BB,TE,12
Khalil Shakir,BB,WR,24
Ty Johnson,BB,RB,24
Keon Coleman,BB,WR,26
Mack Hollins,BB,WR,30
Ray Davis,BB,RB,36
Josh Allen,BB,QB,78
James Cook,BB,RB,108
Tyler Bass,BB,K,131
Marlon Humphrey,BR,LCB,6
Charlie Kolar,BR,TE,6
Devontez Walker,BR,WR,6
Tylan Wallace,BR,WR,6
Nate Wiggins,BR,CB,6
Nelson Agholor,BR,WR,12
Patrick Ricard,BR,FB,12
Zay Flowers,BR,WR,24
Justice Hill,BR,RB,24
Lamar Jackson,BR,QB,26
Isaiah Likely,BR,TE,36
Rashod Bateman,BR,WR,54
Mark Andrews,BR,TE,66
Derrick Henry,BR,RB,108
Justin Tucker,BR,K,126
Tanner Hudson,CB,TE,6
Charlie Jones,CB,WR,6
Drew Sample,CB,TE,6
Geno Stone,CB,SS,6
Cam Taylor-Britt,CB,LCB,6
Josh Blackwell,CB,DB,6
Khalil Herbert,CB,RB,6
Jonathan Owens,CB,S,6
Tyrique Stevenson,CB,LCB,6
Sam Hubbard,CB,LDE,8
Joe Burrow,CB,QB,12
Mike Gesicki,CB,TE,12
Zack Moss,CB,RB,18
Rome Odunze,CB,WR,18
Cole Kmet,CB,TE,26
Andrei Iosivas,CB,WR,36
Roschon Johnson,CB,RB,36
D.J. Moore,CB,WR,38
D'Andre Swift,CB,RB,38
Cade York,CB,K,41
Keenan Allen,CB,WR,42
Tee Higgins,CB,WR,60
Chase Brown,CB,RB,68
Evan McPherson,CB,K,85
Cairo Santos,CB,K,88
Ja'Marr Chase,CB,WR,102
Riley Patterson,ClB,K,1
Alex Wright,ClB,DE,2
Elijah Moore,ClB,WR,6
Deshaun Watson,ClB,QB,6
Blake Whiteheart,ClB,TE,6
Jameis Winston,ClB,QB,6
Jordan Akins,ClB,TE,12
Amari Cooper,ClB,WR,12
Rodney McLeod,ClB,S,12
Jerome Ford,ClB,RB,18
Cedric Tillman,ClB,WR,20
Nick Chubb,ClB,RB,24
Jerry Jeudy,ClB,WR,28
David Njoku,ClB,TE,34
Dustin Hopkins,ClB,K,71
Ja'Tavion Sanders,CP,TE,6
Jalen Coker,CP,WR,12
Tommy Tremble,CP,TE,12
Diontae Johnson,CP,WR,18
David Moore,CP,WR,18
Miles Sanders,CP,RB,18
Xavier Legette,CP,WR,24
Adam Thielen,CP,WR,30
Bryce Young,CP,QB,36
Chuba Hubbard,CP,RB,68
Eddy Piñeiro,CP,K,99
Zach Allen,DB,LDT,2
Lil'Jordan Humphrey,DB,WR,6
Ja'Quan McMillian,DB,CB,6
Josh Reynolds,DB,WR,6
Patrick Surtain II,DB,LCB,6
Cody Barton,DB,LILB,6
Troy Franklin,DB,WR,12
Audric Estime,DB,RB,12
Michael Burton,DB,FB,12
Nik Bonitto,DB,ROLB,12
Adam Trautman,DB,TE,12
Jaleel McLaughlin,DB,RB,18
Devaughn Vele,DB,WR,18
Nate Adkins,DB,TE,18
Javonte Williams,DB,RB,24
Bo Nix,DB,QB,30
Marvin Mims,DB,WR,36
Courtland Sutton,DB,WR,48
Wil Lutz,DB,K,139
Jalen Brooks,DC,WR,6
DeMarvion Overshown,DC,RLB,6
Dak Prescott,DC,QB,6
Luke Schoonmaker,DC,TE,6
Juanyeh Thomas,DC,S,6
Brandin Cooks,DC,WR,18
Ezekiel Elliott,DC,RB,18
